id_avaliacao,id_loja,data,nota,canal,tempo_espera_min,comentario
AV0335,LJ11,2025-12-24,4.0,google,4.0,Preço justo pelo que entrega
AV0336,LJ11,2026-03-25,4.0,google,3.0,
AV0337,LJ11,2026-05-11,4.0,google,4.0,"Café muito bom, atendimento rápido"
AV0338,LJ11,2026-06-03,5.0,google maps,6.0,Ambiente agradável para trabalhar
AV0339,LJ11,2026-03-16,5.0,google,6.0,Cold brew excelente
AV0340,LJ11,2026-06-28,5.0,google,4.0,"Equipe atenciosa, já conhecem meu pedido"
AV0341,LJ11,2026-02-28,4.0,totem na loja,4.0,Cold brew excelente
AV0342,LJ11,2026-04-15,5.0,app,5.0,
AV0343,LJ11,2026-01-09,5.0,google,8.0,Melhor espresso da região
AV0344,LJ12,2026-06-11,4.0,google,8.0,"Wi-fi funciona bem, virei cliente da manhã"
AV0345,LJ12,2026-01-28,4.0,google,12.0,Pão de queijo sempre quente
AV0346,LJ12,2026-04-12,4.0,totem na loja,8.0,"Wi-fi funciona bem, virei cliente da manhã"
AV0347,LJ12,2026-05-14,4.0,google maps,14.0,Cold brew excelente
AV0348,LJ12,2026-05-16,5.0,google,8.0,Pão de queijo sempre quente
AV0349,LJ12,2026-02-10,4.0,app,7.0,Melhor espresso da região
AV0350,LJ12,2026-05-14,4.0,app,14.0,Ambiente agradável para trabalhar
AV0351,LJ12,2026-03-25,4.0,google,10.0,Ambiente agradável para trabalhar
AV0352,LJ12,2026-06-02,5.0,app,13.0,Melhor espresso da região
AV0353,LJ12,2026-02-09,4.0,totem na loja,8.0,Preço justo pelo que entrega
AV0354,LJ12,2026-02-19,3.0,google maps,14.0,"Café bom, cardápio poderia ter mais opções"
AV0355,LJ12,2026-05-29,5.0,app,14.0,"Café muito bom, atendimento rápido"
AV0356,LJ12,2026-02-19,4.0,app,11.0,"Café muito bom, atendimento rápido"
AV0357,LJ12,2026-06-12,3.0,google maps,10.0,"Atendimento ok, mesa suja quando cheguei"
AV0358,LJ12,2026-03-18,4.0,google maps,8.0,
AV0359,LJ13,2026-06-17,4.0,app,6.0,Preço justo pelo que entrega
AV0360,LJ13,2026-06-06,4.0,app,10.0,
AV0361,LJ13,2026-05-07,4.0,app,9.0,Melhor espresso da região
AV0362,LJ13,2026-04-13,4.0,app,11.0,Preço justo pelo que entrega
AV0363,LJ13,2026-06-05,4.0,google,5.0,"Café muito bom, atendimento rápido"
AV0364,LJ13,2026-06-04,4.0,totem na loja,6.0,"Café muito bom, atendimento rápido"
AV0365,LJ13,2026-06-07,4.0,google,7.0,
AV0366,LJ13,2026-06-07,4.0,totem na loja,10.0,
AV0367,LJ13,2026-06-22,5.0,app,9.0,"Café muito bom, atendimento rápido"
AV0368,LJ13,2026-04-06,3.0,google,8.0,
AV0369,LJ13,2026-06-19,3.0,google maps,8.0,"Atendimento ok, mesa suja quando cheguei"
AV0370,LJ13,2026-03-02,4.0,google,8.0,"Equipe atenciosa, já conhecem meu pedido"
AV0371,LJ14,2026-04-18,4.0,google,8.0,Cold brew excelente
AV0372,LJ14,2026-03-31,4.0,google maps,7.0,Pão de queijo sempre quente
AV0373,LJ14,2026-03-29,4.0,google maps,9.0,"Café muito bom, atendimento rápido"
AV0374,LJ14,2026-05-18,4.0,app,8.0,Pão de queijo sempre quente
AV0375,LJ14,2026-05-18,4.0,app,12.0,"Wi-fi funciona bem, virei cliente da manhã"
AV0376,LJ14,2026-04-27,3.0,google,11.0,Café bom mas o atendimento demorou
AV0377,LJ14,2026-05-28,5.0,google,10.0,Cold brew excelente
AV0378,LJ14,2026-04-27,5.0,google,9.0,Ambiente agradável para trabalhar
AV0379,LJ14,2026-05-23,4.0,google,9.0,Ambiente agradável para trabalhar
AV0380,LJ14,2026-06-13,5.0,app,8.0,"Café muito bom, atendimento rápido"
